iter	Passed	Remaining
602	22232	14637
603	22266	14598
604	22304	14562
605	22345	14528
606	22383	14492
607	22420	14455
608	22460	14420
609	22497	14383
610	22535	14347
611	22581	14316
612	22617	14278
613	22662	14247
614	22698	14209
615	22733	14171
616	22768	14133
617	22809	14099
618	22848	14063
619	22878	14022
620	22910	13982
621	22955	13950
622	22991	13913
623	23028	13876
624	23069	13841
625	23105	13804
626	23141	13766
627	23177	13729
628	23221	13696
629	23255	13658
630	23294	13622
631	23331	13585
632	23362	13545
633	23396	13506
634	23429	13467
635	23469	13431
636	23502	13393
637	23537	13355
638	23571	13316
639	23609	13280
640	23646	13243
641	23682	13205
642	23720	13169
643	23757	13133
644	23795	13096
645	23833	13060
646	23869	13022
647	23901	12983
648	23938	12946
649	23971	12907
650	24016	12875
651	24051	12837
652	24086	12799
653	24123	12762
654	24163	12727
655	24200	12690
656	24234	12651
657	24269	12614
658	24303	12575
659	24340	12538
660	24375	12501
661	24409	12462
662	24448	12426
663	24488	12391
664	24520	12352
665	24551	12312
666	24588	12275
667	24626	12239
668	24660	12201
669	24706	12168
670	24741	12130
671	24770	12090
672	24803	12051
673	24846	12017
674	24881	11979
675	24915	11941
676	24953	11905
677	24989	11868
678	25026	11831
679	25063	11794
680	25095	11755
681	25130	11717
682	25169	11682
683	25208	11645
684	25252	11612
685	25292	11577
686	25325	11538
687	25367	11503
688	25404	11467
689	25433	11426
690	25473	11390
691	25524	11360
692	25563	11324
693	25603	11289
694	25634	11249
695	25675	11214
696	25715	11178
697	25758	11144
698	25791	11106
699	25825	11068
700	25861	11030
701	25898	10993
702	25933	10956
703	25971	10919
704	26015	10885
705	26053	10849
706	26083	10809
707	26128	10776
708	26168	10740
709	26208	10704
710	26245	10667
711	26289	10633
712	26334	10600
713	26374	10564
714	26419	10530
715	26459	10495
716	26501	10460
717	26545	10425
718	26584	10389
719	26622	10353
720	26664	10318
721	26706	10283
722	26745	10246
723	26787	10211
724	26838	10180
725	26883	10146
726	26926	10111
727	26971	10077
728	27019	10044
729	27065	10010
730	27122	9980
731	27166	9946
732	27203	9909
733	27248	9874
734	27292	9840
735	27338	9806
736	27377	9769
737	27422	9735
738	27458	9697
739	27502	9663
740	27543	9627
741	27582	9590
742	27621	9554
743	27659	9517
744	27711	9485
745	27750	9448
746	27785	9410
747	27822	9373
748	27855	9334
749	27891	9297
750	27932	9261
751	27968	9223
752	28006	9186
753	28042	9149
754	28081	9112
755	28126	9077
756	28163	9040
757	28192	9000
758	28229	8963
759	28266	8926
760	28303	8888
761	28340	8851
762	28378	8814
763	28417	8778
764	28454	8740
765	28499	8706
766	28544	8671
767	28591	8637
768	28640	8603
769	28680	8567
770	28724	8531
771	28767	8496
772	28810	8460
773	28844	8422
774	28903	8391
775	28957	8358
776	29006	8324
777	29059	8291
778	29103	8256
779	29153	8222
780	29202	8188
781	29249	8153
782	29298	8119
783	29345	8085
784	29394	8050
785	29442	8016
786	29488	7981
787	29530	7944
788	29564	7906
789	29602	7869
790	29647	7833
791	29729	7807
792	29781	7774
793	29820	7736
794	29862	7700
795	29898	7662
796	29939	7625
797	29977	7588
798	30021	7552
799	30065	7516
800	30102	7478
801	30139	7440
802	30179	7404
803	30221	7367
804	30255	7329
805	30292	7291
806	30326	7252
807	30361	7214
808	30393	7175
809	30429	7137
810	30477	7102
811	30514	7064
812	30557	7028
813	30603	6992
814	30642	6955
815	30681	6918
816	30719	6880
817	30762	6844
818	30806	6808
